REWRITTEN TRANSCRIPT:

เอย: "ลองคู่นี้ดูสิเธอ สวยมากเลยนะ!"

หญิง: "ใช่ๆ น่าจะเข้ากับชุดที่มีอยู่แล้วด้วย ลองใส่ดูหน่อยนะ"

บุ๊ค: "นี่ชอบรองเท้าส้นสูงกันเหรอ? เราต้องการรองเท้าทำงานมากกว่าหรือเปล่า"

เอย: "ก็ใช่แหละ แต่บางทีก็อยากเปลี่ยนลุกบ้างน่ะ ลองดูรองเท้าคู่นั้นสิ ดูเหมือนจะใส่สบายดีนะ"

บุ๊ค: "อืม คู่นี้ก็ดูดีนะ แต่ต้องลองเดินดูก่อนว่าใส่เดินแล้วสบายหรือเปล่า"

หญิง: "ลองเดินดูสิ ฉันกับเอยจะช่วยดูว่าเป็นยังไงบ้าง"

บุ๊ค: "ขอบใจนะ งั้นเดี๋ยวเราลองเดินดูสักรอบนะ"

เอย: "ส่วนฉันก็จะลองส้นสูงคู่นี้ดูบ้าง ชักเริ่มรู้สึกว่าเดินได้สบายกว่าที่คิดแฮะ"

หญิง: "ใช่ๆ บางทีส้นสูงก็ไม่ได้ใส่ยากขนาดนั้นนะจ๊ะ ถ้าเลือกคู่ที่พอดีอะ"

บุ๊ค: "เราว่าคู่นี้โอเคนะ ใส่เดินสบายดี คงจะเอาคู่นี้แหละ"

เอย: "ดีเลยบุ๊ค งั้นเรามาซื้อกันเถอะ! แล้วไปหาอะไรกินกันต่อ"

หญิง: "ดีมากเลยเธอ เราหิวแล้วเหมือนกัน"

บุ๊ค: "โอเค งั้นไปจ่ายเงินกันเถอะ แล้วไปหาอะไรกินกันต่อ"
